customer_id,loan_number,application_date,loan_purpose,loan_property_address,property_city,property_state,property_zip,property_county_fips,property_type,occupancy_type,annual_income,credit_score,requested_loan_amount,property_value,ltv_ratio,dti_ratio,interest_rate,loan_term_months,decision,decision_date,approved_loan_amount,approval_amount_change_reason,adverse_action_reason,origination_date,outcome_horizon_days,maturation_date,loan_status,forbearance_active,resolution_date,resolution_type,involuntary_closure_mechanism,outstanding_balance_at_resolution,recovery_amount,new_loan_number,abandonment_reason
CUST-000012,MTG-2025-000012,2025-05-15,purchase,"9423 River Ave, Memphis, TN 38103",Memphis,TN,38103,47157,single_family,primary_residence,74000,681,313400,347000,0.903,0.438,7.739,360,approved,2025-06-14,313400.0,,,2025-06-30,1095.0,2028-06-29,open,False,,,,,,,
CUST-000013,MTG-2025-000013,2025-04-07,purchase,"8573 Lincoln St, Austin, TX 78701",Austin,TX,78701,48453,single_family,primary_residence,127600,811,217500,244000,0.891,0.322,7.101,360,approved,2025-05-01,217500.0,,,2025-05-23,1095.0,2028-05-22,open,False,,,,,,,
CUST-000014,MTG-2026-000014,2026-03-12,purchase,"2857 River Rd, Chicago, IL 60601",Chicago,IL,60601,17031,single_family,primary_residence,92700,731,318100,439000,0.725,0.372,7.576,180,approved,2026-04-07,318100.0,,,2026-05-01,1095.0,2029-04-30,open,False,,,,,,,
CUST-000015,MTG-2021-000015,2021-09-26,purchase,"1703 Pine Ave, Phoenix, AZ 85001",Phoenix,AZ,85001,04013,condo,primary_residence,105500,768,279800,307000,0.911,0.436,6.701,360,approved,2021-11-10,279800.0,,,2021-12-15,1095.0,2024-12-14,open,False,,,,,,,
CUST-000016,MTG-2021-000016,2021-07-22,purchase,"6241 Maple Rd, Wichita, KS 67202",Wichita,KS,67202,20173,single_family,primary_residence,32900,622,112500,116000,0.97,0.481,7.635,360,denied,2021-08-01,,,unable to verify stated income with submitted documentation,,,,,,,,,,,,
CUST-000017,MTG-2021-000017,2021-09-18,purchase,"2850 Willow St, Omaha, NE 68102",Omaha,NE,68102,31055,single_family,investment_property,199800,737,381700,484000,0.789,0.252,7.691,360,approved,2021-10-01,381700.0,,,2021-11-14,1095.0,2024-11-13,paid_in_full,False,2023-02-07,paid_in_full,,288700.0,,,
CUST-000018,MTG-2022-000018,2022-07-21,purchase,"6720 River Rd, Las Vegas, NV 89101",Las Vegas,NV,89101,32003,townhouse,primary_residence,99600,773,163700,249000,0.657,0.401,7.469,360,approved,2022-08-06,163700.0,,,2022-08-30,1095.0,2025-08-29,open,False,,,,,,,
CUST-000019,MTG-2021-000019,2021-04-05,purchase,"7922 Willow Ct, San Antonio, TX 78201",San Antonio,TX,78201,48029,single_family,investment_property,36500,607,191100,197000,0.97,0.463,7.583,360,denied,2021-04-10,,,loan-to-value ratio exceeds maximum allowed for this program,,,,,,,,,,,,
CUST-000020,MTG-2024-000020,2024-03-22,purchase,"799 Park Rd, Wichita, KS 67202",Wichita,KS,67202,20173,single_family,primary_residence,68900,628,240600,248000,0.97,0.457,6.92,180,denied,2024-04-13,,,debt-to-income ratio exceeds program guidelines,,,,,,,,,,,,
CUST-000021,MTG-2022-000021,2022-07-18,purchase,"3729 Hickory Dr, Oklahoma City, OK 73102",Oklahoma City,OK,73102,40109,single_family,primary_residence,80100,732,109100,126000,0.866,0.432,7.875,360,approved,2022-08-13,106200.0,updated debt-to-income calculation required a reduced loan amount,,2022-09-06,1095.0,2025-09-05,paid_in_full,False,2026-04-11,paid_in_full,,88100.0,,,
CUST-000022,MTG-2024-000022,2024-10-27,refinance,"9195 Oak Rd, Milwaukee, WI 53202",Milwaukee,WI,53202,55079,single_family,primary_residence,86400,717,196200,289000,0.679,0.451,7.91,360,approved,2024-12-02,196200.0,,,2024-12-23,1095.0,2027-12-23,open,False,,,,,,,
CUST-000023,MTG-2022-000023,2022-07-27,purchase,"6632 Franklin Dr, Columbus, OH 43215",Columbus,OH,43215,39049,single_family,second_home,63800,681,363300,398000,0.913,0.476,7.654,360,approved,2022-08-29,363300.0,,,2022-09-18,1095.0,2025-09-17,open,False,,,,,,,
CUST-000024,MTG-2021-000024,2021-01-26,purchase,"7428 Ridge Ave, San Antonio, TX 78201",San Antonio,TX,78201,48029,single_family,primary_residence,127000,730,291900,334000,0.874,0.388,7.738,180,approved,2021-02-01,291900.0,,,2021-03-03,1095.0,2024-03-02,paid_in_full,False,2022-03-03,paid_in_full,,210900.0,,,
CUST-000025,MTG-2023-000025,2023-07-09,refinance,"4975 Elm Ct, Houston, TX 77002",Houston,TX,77002,48201,single_family,primary_residence,22000,580,85200,90000,0.947,0.473,7.631,360,denied,2023-08-14,,,credit score below the minimum required for this program,,,,,,,,,,,,
CUST-000026,MTG-2026-000026,2026-04-20,refinance,"548 Lincoln Dr, Omaha, NE 68102",Omaha,NE,68102,31055,townhouse,primary_residence,44900,667,198000,220000,0.9,0.438,7.69,360,denied,2026-05-17,,,credit score below the minimum required for this program,,,,,,,,,,,,
CUST-000027,MTG-2023-000027,2023-10-13,refinance,"7102 Cedar Ct, Columbus, OH 43215",Columbus,OH,43215,39049,single_family,second_home,45100,567,210200,220000,0.955,0.556,7.859,180,denied,2023-10-23,,,insufficient funds verified for required down payment and reserves,,,,,,,,,,,,
CUST-000028,MTG-2020-000028,2020-08-16,purchase,"214 Oak Rd, Tucson, AZ 85701",Tucson,AZ,85701,04019,single_family,primary_residence,58300,626,200800,207000,0.97,0.428,7.545,360,denied,2020-09-06,,,credit score below the minimum required for this program,,,,,,,,,,,,
CUST-000029,MTG-2021-000029,2021-07-14,refinance,"8453 Willow Ct, Dallas, TX 75201",Dallas,TX,75201,48113,single_family,primary_residence,83600,822,303200,384000,0.79,0.341,7.06,360,approved,2021-08-28,303200.0,,,2021-10-11,1095.0,2024-10-10,open,False,,,,,,,
CUST-000030,MTG-2025-000030,2025-06-26,purchase,"8866 Hickory Ave, Aurora, CO 80010",Aurora,CO,80010,08005,single_family,primary_residence,65600,802,250100,406000,0.616,0.219,7.516,360,approved,2025-08-09,250100.0,,,2025-08-27,1095.0,2028-08-26,open,False,,,,,,,
CUST-000031,MTG-2021-000031,2021-06-22,purchase,"2248 Elm Blvd, Tucson, AZ 85701",Tucson,AZ,85701,04019,townhouse,second_home,144000,691,333200,416000,0.801,0.521,7.933,360,denied,2021-07-15,,,credit score below the minimum required for this program,,,,,,,,,,,,
CUST-000032,MTG-2023-000032,2023-02-13,purchase,"4521 Meadow Way, Sacramento, CA 95814",Sacramento,CA,95814,06067,single_family,primary_residence,54800,642,145200,175000,0.83,0.452,7.847,360,denied,2023-02-28,,,credit score below the minimum required for this program,,,,,,,,,,,,
CUST-000033,MTG-2024-000033,2024-05-28,refinance,"1952 River St, Oklahoma City, OK 73102",Oklahoma City,OK,73102,40109,single_family,primary_residence,115000,708,312300,359000,0.87,0.422,7.523,360,approved,2024-06-15,301600.0,underwriting condition reduced approved amount pending additional reserves,,2024-07-08,1095.0,2027-07-08,open,False,,,,,,,
CUST-000034,MTG-2023-000034,2023-05-20,purchase,"5187 Cedar Ct, Milwaukee, WI 53202",Milwaukee,WI,53202,55079,single_family,primary_residence,114000,745,216800,296000,0.732,0.338,7.448,360,approved,2023-06-20,216800.0,,,2023-07-08,1095.0,2026-07-07,open,False,,,,,,,
CUST-000035,MTG-2026-000035,2026-06-10,refinance,"587 Sunset St, Miami, FL 33130",Miami,FL,33130,12086,single_family,primary_residence,32100,607,330400,353000,0.936,0.628,7.67,360,denied,2026-07-15,,,excessive existing debt obligations relative to income,,,,,,,,,,,,
CUST-000036,MTG-2024-000036,2024-09-23,purchase,"5365 Magnolia Dr, Memphis, TN 38103",Memphis,TN,38103,47157,single_family,investment_property,24900,659,192900,207000,0.932,0.347,6.94,360,denied,2024-10-03,,,insufficient length of established credit history,,,,,,,,,,,,
CUST-000037,MTG-2020-000037,2020-12-23,purchase,"8041 Pine Ave, Aurora, CO 80010",Aurora,CO,80010,08005,single_family,investment_property,102800,777,178000,258000,0.69,0.265,7.308,360,approved,2021-01-10,178000.0,,,2021-02-09,1095.0,2024-02-09,paid_in_full,False,2023-11-05,paid_in_full,,131700.0,,,
CUST-000038,MTG-2021-000038,2021-09-02,refinance,"8672 Park St, Memphis, TN 38103",Memphis,TN,38103,47157,townhouse,primary_residence,50100,671,292900,302000,0.97,0.522,7.44,360,denied,2021-10-11,,,excessive existing debt obligations relative to income,,,,,,,,,,,,
CUST-000039,MTG-2025-000039,2025-02-12,refinance,"1997 Birch Ct, Chicago, IL 60601",Chicago,IL,60601,17031,townhouse,second_home,65900,627,239100,307000,0.779,0.462,7.258,360,denied,2025-03-06,,,credit score below the minimum required for this program,,,,,,,,,,,,
CUST-000040,MTG-2023-000040,2023-08-07,purchase,"4724 Magnolia Rd, Jacksonville, FL 32202",Jacksonville,FL,32202,12031,single_family,primary_residence,49800,713,275100,358000,0.768,0.359,7.694,360,approved,2023-08-16,275100.0,,,2023-09-19,1095.0,2026-09-18,open,False,,,,,,,
CUST-000041,MTG-2024-000041,2024-06-25,purchase,"6862 Elm Ln, Marietta, GA 30060",Marietta,GA,30060,13067,single_family,primary_residence,85900,716,397800,466000,0.854,0.345,7.496,360,approved,2024-07-28,361600.0,updated debt-to-income calculation required a reduced loan amount,,2024-09-02,1095.0,2027-09-02,open,False,,,,,,,
CUST-000042,MTG-2022-000042,2022-02-17,refinance,"3420 Park St, Raleigh, NC 27601",Raleigh,NC,27601,37183,single_family,primary_residence,62500,673,147200,162000,0.909,0.417,6.836,360,approved,2022-03-29,147200.0,,,2022-04-13,1095.0,2025-04-12,open,False,,,,,,,
CUST-000043,MTG-2025-000043,2025-01-07,purchase,"2752 Elm Ave, Dallas, TX 75201",Dallas,TX,75201,48113,single_family,primary_residence,106100,687,176800,212000,0.834,0.403,7.528,360,approved,2025-01-17,176800.0,,,2025-02-08,1095.0,2028-02-08,open,False,,,,,,,
CUST-000044,MTG-2021-000044,2021-08-02,purchase,"1778 Highland Way, Phoenix, AZ 85001",Phoenix,AZ,85001,04013,single_family,primary_residence,81300,774,513300,625000,0.821,0.472,7.658,180,approved,2021-08-18,513300.0,,,2021-09-03,1095.0,2024-09-02,paid_in_full,False,2026-06-24,paid_in_full,,384100.0,,,
CUST-000045,MTG-2023-000045,2023-06-22,purchase,"9934 Elm Way, Houston, TX 77002",Houston,TX,77002,48201,single_family,primary_residence,169600,850,357600,589000,0.607,0.325,7.076,180,approved,2023-07-25,357600.0,,,2023-08-08,1095.0,2026-08-07,open,False,,,,,,,
CUST-000046,MTG-2023-000046,2023-04-09,purchase,"6071 Sunset Ave, Aurora, CO 80010",Aurora,CO,80010,08005,single_family,primary_residence,77400,721,211100,234000,0.902,0.479,7.162,360,approved,2023-05-02,211100.0,,,2023-06-12,1095.0,2026-06-11,open,False,,,,,,,
CUST-000047,MTG-2022-000047,2022-01-22,refinance,"4655 Franklin Ln, Mesa, AZ 85201",Mesa,AZ,85201,04013,townhouse,primary_residence,97900,702,129000,133000,0.97,0.372,7.125,360,approved,2022-02-13,129000.0,,,2022-02-28,1095.0,2025-02-27,open,False,,,,,,,
CUST-000048,MTG-2020-000048,2020-12-28,purchase,"3416 Oak Way, Minneapolis, MN 55401",Minneapolis,MN,55401,27053,single_family,primary_residence,93700,794,189400,248000,0.764,0.344,7.334,360,approved,2021-01-09,189400.0,,,2021-01-26,1095.0,2024-01-26,open,False,,,,,,,
CUST-000049,MTG-2025-000049,2025-11-07,refinance,"715 Willow Way, Aurora, CO 80010",Aurora,CO,80010,08005,single_family,primary_residence,22000,746,139100,168000,0.828,0.324,7.199,360,approved,2025-12-13,139100.0,,,2026-01-18,1095.0,2029-01-17,open,False,,,,,,,
CUST-000050,MTG-2023-000050,2023-04-13,purchase,"2340 Magnolia Rd, Arlington, TX 76010",Arlington,TX,76010,48439,condo,primary_residence,42300,578,142200,165000,0.862,0.492,7.265,360,denied,2023-05-02,,,recent delinquency reported on existing credit accounts,,,,,,,,,,,,
CUST-000051,MTG-2021-000051,2021-10-14,purchase,"7453 Park Rd, Detroit, MI 48226",Detroit,MI,48226,26163,single_family,primary_residence,73600,744,298100,362000,0.823,0.393,7.789,360,approved,2021-10-23,285900.0,appraised value came in below contract price,,2021-11-13,1095.0,2024-11-12,open,False,,,,,,,
CUST-000052,MTG-2024-000052,2024-08-15,purchase,"3129 Pine Dr, Atlanta, GA 30301",Atlanta,GA,30301,13121,condo,primary_residence,71100,785,173300,210000,0.825,0.463,7.373,360,approved,2024-09-02,173300.0,,,2024-10-12,1095.0,2027-10-12,open,False,,,,,,,
CUST-000053,MTG-2023-000053,2023-01-05,purchase,"972 Maple Ct, Wichita, KS 67202",Wichita,KS,67202,20173,condo,primary_residence,48900,723,212000,256000,0.828,0.487,7.284,360,approved,2023-01-17,212000.0,,,2023-02-08,1095.0,2026-02-07,paid_in_full,False,2025-05-10,paid_in_full,,178300.0,,,
CUST-000054,MTG-2021-000054,2021-01-10,refinance,"7082 Hickory St, Charlotte, NC 28202",Charlotte,NC,28202,37119,single_family,primary_residence,57800,699,149100,164000,0.909,0.388,7.87,360,approved,2021-02-03,149100.0,,,2021-02-27,1095.0,2024-02-27,paid_in_full,False,2024-10-05,paid_in_full,,110100.0,,,
CUST-000055,MTG-2022-000055,2022-03-10,purchase,"1460 Cedar Ct, Tulsa, OK 74103",Tulsa,OK,74103,40143,single_family,primary_residence,42300,583,165900,171000,0.97,0.43,7.694,360,denied,2022-04-23,,,excessive existing debt obligations relative to income,,,,,,,,,,,,
CUST-000056,MTG-2025-000056,2025-04-20,purchase,"8006 Maple St, Chicago, IL 60601",Chicago,IL,60601,17031,single_family,primary_residence,74100,709,788500,855000,0.922,0.348,7.403,360,approved,2025-05-07,788500.0,,,2025-06-20,1095.0,2028-06-19,paid_in_full,False,2026-06-15,paid_in_full,,765100.0,,,
CUST-000057,MTG-2022-000057,2022-10-30,refinance,"7143 Cedar Ave, Charlotte, NC 28202",Charlotte,NC,28202,37119,condo,primary_residence,50600,796,498000,689000,0.723,0.305,7.361,360,approved,2022-11-24,498000.0,,,2022-12-17,1095.0,2025-12-16,open,True,,,,,,,
CUST-000058,MTG-2024-000058,2024-02-10,purchase,"5405 Pine Ln, Raleigh, NC 27601",Raleigh,NC,27601,37183,single_family,primary_residence,25700,694,270200,282000,0.958,0.565,7.327,360,denied,2024-02-20,,,unable to verify stated income with submitted documentation,,,,,,,,,,,,
CUST-000059,MTG-2022-000059,2022-07-02,refinance,"9851 Willow Way, Wichita, KS 67202",Wichita,KS,67202,20173,single_family,investment_property,99700,715,197100,221000,0.892,0.444,7.393,360,approved,2022-08-04,197100.0,,,2022-08-26,1095.0,2025-08-25,paid_in_full,False,2026-07-26,paid_in_full,,155700.0,,,
CUST-000060,MTG-2020-000060,2020-08-07,refinance,"9824 Franklin Way, Aurora, CO 80010",Aurora,CO,80010,08005,single_family,second_home,59800,688,130900,166000,0.789,0.46,7.614,360,denied,2020-08-30,,,recent delinquency reported on existing credit accounts,,,,,,,,,,,,
CUST-000061,MTG-2024-000061,2024-06-05,purchase,"9565 Ridge Ln, Charlotte, NC 28202",Charlotte,NC,28202,37119,single_family,primary_residence,57200,668,232800,240000,0.97,0.499,7.918,360,approved,2024-07-03,232800.0,,,2024-08-11,1095.0,2027-08-11,open,False,,,,,,,
CUST-000062,MTG-2025-000062,2025-03-27,refinance,"4195 Church Way, San Antonio, TX 78201",San Antonio,TX,78201,48029,single_family,primary_residence,50000,773,141600,157000,0.902,0.316,7.203,360,approved,2025-04-02,141600.0,,,2025-05-05,1095.0,2028-05-04,open,False,,,,,,,
CUST-000063,MTG-2021-000063,2021-04-04,refinance,"9726 Washington Ct, Dallas, TX 75201",Dallas,TX,75201,48113,single_family,primary_residence,85300,702,351900,444000,0.793,0.324,7.604,240,approved,2021-05-10,351900.0,,,2021-06-01,1095.0,2024-05-31,open,False,,,,,,,
CUST-000064,MTG-2020-000064,2020-11-11,purchase,"663 Franklin Ave, Indianapolis, IN 46204",Indianapolis,IN,46204,18097,single_family,primary_residence,74600,725,264700,302000,0.876,0.41,7.044,360,approved,2020-11-16,264700.0,,,2020-12-13,1095.0,2023-12-13,paid_in_full,False,2026-03-09,paid_in_full,,203000.0,,,
CUST-000065,MTG-2021-000065,2021-12-14,purchase,"5252 Church Dr, Columbus, OH 43215",Columbus,OH,43215,39049,single_family,primary_residence,41800,574,222100,229000,0.97,0.404,7.765,360,denied,2022-01-10,,,debt-to-income ratio exceeds program guidelines,,,,,,,,,,,,
CUST-000066,MTG-2026-000066,2026-02-22,refinance,"6097 Willow Ave, Atlanta, GA 30301",Atlanta,GA,30301,13121,townhouse,primary_residence,24600,602,78200,93000,0.841,0.392,8.048,360,denied,2026-03-27,,,insufficient length of established credit history,,,,,,,,,,,,
CUST-000067,MTG-2023-000067,2023-11-11,purchase,"7442 Lincoln Way, Kansas City, MO 64105",Kansas City,MO,64105,29095,single_family,second_home,59200,744,297200,324000,0.917,0.308,7.39,360,approved,2023-12-02,297200.0,,,2024-01-09,1095.0,2027-01-08,open,False,,,,,,,
CUST-000068,MTG-2021-000068,2021-11-18,purchase,"4701 Church Blvd, Omaha, NE 68102",Omaha,NE,68102,31055,townhouse,primary_residence,122200,635,221800,235000,0.944,0.504,7.403,360,denied,2021-12-17,,,unable to verify stated income with submitted documentation,,,,,,,,,,,,
CUST-000069,MTG-2021-000069,2021-04-03,purchase,"4133 Main Way, Phoenix, AZ 85001",Phoenix,AZ,85001,04013,townhouse,primary_residence,123100,850,209300,305000,0.686,0.264,7.092,360,approved,2021-05-16,209300.0,,,2021-05-29,1095.0,2024-05-28,open,False,,,,,,,
CUST-000070,MTG-2021-000070,2021-03-29,refinance,"2289 Birch Blvd, Denver, CO 80202",Denver,CO,80202,08031,single_family,primary_residence,186500,810,379800,526000,0.722,0.303,7.406,360,approved,2021-04-17,379800.0,,,2021-05-13,1095.0,2024-05-12,open,False,,,,,,,
CUST-000071,MTG-2025-000071,2025-10-24,refinance,"106 Pine Ct, Houston, TX 77002",Houston,TX,77002,48201,condo,primary_residence,137000,829,334800,408000,0.821,0.208,7.272,360,approved,2025-11-02,292200.0,updated debt-to-income calculation required a reduced loan amount,,2025-11-15,1095.0,2028-11-14,open,False,,,,,,,
CUST-000072,MTG-2021-000072,2021-12-30,purchase,"7682 Sunset Rd, Nashville, TN 37201",Nashville,TN,37201,47037,single_family,primary_residence,47200,638,207200,268000,0.773,0.483,7.442,360,approved,2022-01-23,207200.0,,,2022-02-07,1095.0,2025-02-06,open,False,,,,,,,
CUST-000073,MTG-2022-000073,2022-07-05,refinance,"367 Cedar Blvd, San Diego, CA 92101",San Diego,CA,92101,06073,single_family,second_home,71400,788,394900,452000,0.874,0.347,7.481,360,approved,2022-08-03,394900.0,,,2022-09-15,1095.0,2025-09-14,modified,False,,,,,,MTG-2026-M000073,loan_modified_new_loan_number_issued
CUST-000074,MTG-2023-000074,2023-07-19,purchase,"4000 Church St, Memphis, TN 38103",Memphis,TN,38103,47157,single_family,primary_residence,158900,735,182800,226000,0.809,0.379,7.178,360,denied,2023-08-15,,,unable to verify stated income with submitted documentation,,,,,,,,,,,,
CUST-000075,MTG-2021-000075,2021-08-02,refinance,"8756 Lincoln Rd, Milwaukee, WI 53202",Milwaukee,WI,53202,55079,single_family,primary_residence,108700,762,286500,376000,0.762,0.321,7.573,360,approved,2021-09-01,268200.0,underwriting condition reduced approved amount pending additional reserves,,2021-10-02,1095.0,2024-10-01,paid_in_full,False,2023-05-25,paid_in_full,,221400.0,,,
CUST-000076,MTG-2025-000076,2025-01-16,purchase,"7216 Cedar Way, Oklahoma City, OK 73102",Oklahoma City,OK,73102,40109,single_family,primary_residence,49000,698,197900,282000,0.702,0.457,7.374,180,approved,2025-01-29,197900.0,,,2025-02-17,1095.0,2028-02-17,open,False,,,,,,,
CUST-000077,MTG-2025-000077,2025-01-06,refinance,"7124 River Way, Houston, TX 77002",Houston,TX,77002,48201,condo,primary_residence,99700,807,567200,715000,0.793,0.286,7.454,180,approved,2025-02-08,567200.0,,,2025-03-08,1095.0,2028-03-07,open,False,,,,,,,
CUST-000078,MTG-2025-000078,2025-09-22,purchase,"7083 Highland Blvd, Omaha, NE 68102",Omaha,NE,68102,31055,single_family,primary_residence,106600,718,399900,433000,0.924,0.394,7.633,360,approved,2025-10-31,399900.0,,,2025-11-23,1095.0,2028-11-22,open,False,,,,,,,
CUST-000079,MTG-2024-000079,2024-09-19,refinance,"3012 Lincoln Ave, Philadelphia, PA 19102",Philadelphia,PA,19102,42101,single_family,primary_residence,28300,732,209900,262000,0.801,0.373,6.916,360,approved,2024-10-08,209900.0,,,2024-11-09,1095.0,2027-11-09,paid_in_full,False,2026-02-23,paid_in_full,,182800.0,,,
CUST-000080,MTG-2023-000080,2023-05-23,purchase,"4109 Willow Ct, Marietta, GA 30060",Marietta,GA,30060,13067,condo,primary_residence,47600,576,132000,167000,0.79,0.494,7.618,360,denied,2023-06-21,,,credit score below the minimum required for this program,,,,,,,,,,,,
CUST-000081,MTG-2022-000081,2022-01-25,purchase,"3198 Washington Ct, Denver, CO 80202",Denver,CO,80202,08031,single_family,primary_residence,110600,796,296200,373000,0.794,0.381,6.924,360,approved,2022-03-02,296200.0,,,2022-04-05,1095.0,2025-04-04,open,False,,,,,,,
CUST-000082,MTG-2024-000082,2024-09-27,purchase,"7584 Hickory Rd, Austin, TX 78701",Austin,TX,78701,48453,single_family,primary_residence,51400,678,149700,168000,0.891,0.381,7.05,360,denied,2024-10-23,,,insufficient funds verified for required down payment and reserves,,,,,,,,,,,,
CUST-000083,MTG-2021-000083,2021-05-31,purchase,"1914 Pine Blvd, Kansas City, MO 64105",Kansas City,MO,64105,29095,single_family,primary_residence,90800,725,169000,215000,0.786,0.364,7.354,360,approved,2021-07-14,169000.0,,,2021-08-28,1095.0,2024-08-27,paid_in_full,False,2023-05-02,paid_in_full,,138000.0,,,
CUST-000084,MTG-2025-000084,2025-07-19,purchase,"3100 Franklin Blvd, Tulsa, OK 74103",Tulsa,OK,74103,40143,single_family,primary_residence,94700,757,247400,255000,0.97,0.399,7.441,360,approved,2025-08-11,247400.0,,,2025-08-24,1095.0,2028-08-23,open,False,,,,,,,
CUST-000085,MTG-2024-000085,2024-12-02,purchase,"2618 River Way, Dallas, TX 75201",Dallas,TX,75201,48113,single_family,primary_residence,50600,694,94000,106000,0.887,0.425,7.073,180,approved,2024-12-19,94000.0,,,2025-01-08,1095.0,2028-01-08,paid_in_full,False,2026-06-30,paid_in_full,,82800.0,,,
CUST-000086,MTG-2022-000086,2022-11-13,purchase,"1580 Franklin Ln, Wichita, KS 67202",Wichita,KS,67202,20173,condo,primary_residence,96600,706,182400,188000,0.97,0.397,7.509,360,approved,2022-11-20,155500.0,underwriting condition reduced approved amount pending additional reserves,,2022-12-30,1095.0,2025-12-29,paid_in_full,False,2025-12-25,paid_in_full,,126600.0,,,
CUST-000087,MTG-2023-000087,2023-06-14,purchase,"8389 Elm Way, San Diego, CA 92101",San Diego,CA,92101,06073,single_family,primary_residence,106900,733,256200,311000,0.824,0.291,7.182,360,approved,2023-06-29,256200.0,,,2023-08-05,1095.0,2026-08-04,open,False,,,,,,,
CUST-000088,MTG-2023-000088,2023-10-28,refinance,"3651 Maple Rd, Indianapolis, IN 46204",Indianapolis,IN,46204,18097,condo,primary_residence,64700,762,882300,975000,0.905,0.418,7.374,360,approved,2023-12-07,882300.0,,,2024-01-07,1095.0,2027-01-06,open,False,,,,,,,
CUST-000089,MTG-2024-000089,2024-11-15,purchase,"8668 Meadow Rd, San Antonio, TX 78201",San Antonio,TX,78201,48029,single_family,primary_residence,45600,667,149400,154000,0.97,0.534,8.132,360,denied,2024-12-15,,,insufficient funds verified for required down payment and reserves,,,,,,,,,,,,
CUST-000090,MTG-2022-000090,2022-04-22,purchase,"3587 Maple St, Minneapolis, MN 55401",Minneapolis,MN,55401,27053,single_family,primary_residence,114300,737,366100,460000,0.796,0.273,7.315,360,approved,2022-05-12,366100.0,,,2022-06-09,1095.0,2025-06-08,open,False,,,,,,,
